name	kategorie	typ	bedeutung
elanpilot	Werte	Kompositum	Der schwung — als Steuerung/Pilot
elanscope	Werte	Kompositum	Der schwung — im Blickfeld
elanscore	Werte	Kompositum	Der schwung — rund um den Punktestand
elansync	Werte	Kompositum	Der schwung — im Gleichtakt
kaizengrade	Werte	Kompositum	Staendige verbesserung (jp.) — rund um Noten
kaizenkompass	Werte	Kompositum	Staendige verbesserung (jp.) — als Kompass
kaizennorth	Werte	Kompositum	Staendige verbesserung (jp.) — als feste Richtung
kaizenscope	Werte	Kompositum	Staendige verbesserung (jp.) — im Blickfeld
sparkkompass	Werte	Kompositum	Der funke — als Kompass
tagkompass	Werte	Kompositum	Dein schultag — als Kompass
vigordeck	Werte	Kompositum	Die tatkraft — als Cockpit
vigordesk	Werte	Kompositum	Die tatkraft — als Schreibtisch
vigorgrade	Werte	Kompositum	Die tatkraft — rund um Noten
vigorkompass	Werte	Kompositum	Die tatkraft — als Kompass
vigornorth	Werte	Kompositum	Die tatkraft — als feste Richtung
zielbase	Ziel	Kompositum	Dein ziel — als Basis
zielboard	Ziel	Kompositum	Dein ziel — als Board/Tafel
zielboost	Ziel	Kompositum	Dein ziel — als Schub
zielcore	Ziel	Kompositum	Dein ziel — im Kern
zieldeck	Ziel	Kompositum	Dein ziel — als Cockpit
zieldesk	Ziel	Kompositum	Dein ziel — als Schreibtisch
zielflow	Ziel	Kompositum	Dein ziel — im Flow, alles fliesst
zielgrade	Ziel	Kompositum	Dein ziel — rund um Noten
zielio	Ziel	Kompositum	Dein ziel — (Tech-Marken-Endung)
zielkit	Ziel	Kompositum	Dein ziel — als Werkzeugkasten
zielloop	Ziel	Kompositum	Dein ziel — als taegliche Routine
zielmind	Ziel	Kompositum	Dein ziel — fuer den Kopf
zielnest	Ziel	Kompositum	Dein ziel — als Nest/Zuhause
zielnorth	Ziel	Kompositum	Dein ziel — als feste Richtung
zielpath	Ziel	Kompositum	Dein ziel — als Pfad
zielpeak	Ziel	Kompositum	Dein ziel — auf dem Gipfel
zielpilot	Ziel	Kompositum	Dein ziel — als Steuerung/Pilot
zielrise	Ziel	Kompositum	Dein ziel — im Aufstieg
zielscope	Ziel	Kompositum	Dein ziel — im Blickfeld
zielscore	Ziel	Kompositum	Dein ziel — rund um den Punktestand
zielsphere	Ziel	Kompositum	Dein ziel — als eigene Sphaere
zielstar	Ziel	Kompositum	Dein ziel — als Leitstern
zielsync	Ziel	Kompositum	Dein ziel — im Gleichtakt
zielverse	Ziel	Kompositum	Dein ziel — als ganzes Universum
zielway	Ziel	Kompositum	Dein ziel — als Weg
atlasgrade	Zukunft	Kompositum	Der traeger, orientierung — rund um Noten
nexusgrade	Zukunft	Kompositum	Der knotenpunkt — rund um Noten
nexuskompass	Zukunft	Kompositum	Der knotenpunkt — als Kompass
vaultkompass	Zukunft	Kompositum	Der tresor fuer deine daten — als Kompass
